model_a,model_b,rep_drift,rep_mean_cka,rep_mean_rsa,gen_gap,size_gap,tune_diff,domain_var,weight_drift,weight_l2,family_same
codegemma_2b,gemma1_1_2b_it,0.014608442783355713,0.9853915572166443,0.9194460821961495,0.09999999999999987,0.0,1.0,0.027873173890971985,0.0024474423193789896,0.6109873526761183,1.0
codegemma_2b,gemma2_2b,0.06703771012169979,0.9329622898783002,0.780766807381539,0.8,0.0,1.0,0.1267711133845681,0.8842669232057125,10.658241943850689,1.0
codegemma_2b,gemma2_2b_it,0.0670415588787624,0.9329584411212376,0.7963160842580078,0.8,0.0,1.0,0.13008976854835227,0.9372406274491164,11.142514481789236,1.0
codegemma_2b,gemma3_1b_it,0.2502162967409406,0.7497837032590594,0.7939802460136633,1.8,0.6931471805599453,1.0,0.2133629701824855,0.9819996855524314,142.08134146215534,1.0
codegemma_2b,gemma3_1b_pt,0.25356076444898334,0.7464392355510167,0.760307880144566,1.8,0.6931471805599453,1.0,0.1972546475334776,0.9935811785229507,212.27133411889423,1.0
codegemma_2b,gemma3_4b_it,0.3200473189353943,0.6799526810646057,0.8121192863301939,1.8,0.6931471805599453,1.0,0.25441900365481834,0.9067153380430361,248.735775068429,1.0
codegemma_2b,gemma3_4b_pt,0.29658280525888714,0.7034171947411129,0.8219065356361123,1.8,0.6931471805599453,1.0,0.23113117991471832,0.9069711428812249,249.14414923066204,1.0
codegemma_2b,lfm2_5_1_2b_base,0.07164973872048519,0.9283502612795148,0.8175116965518926,1.3,0.5108256237659907,1.0,0.14155222029193684,1.0436274538485264,12.28985937253498,0.0
codegemma_2b,lfm2_5_1_2b_instruct,0.08904562677655903,0.910954373223441,0.8187700619620494,1.3,0.5108256237659907,1.0,0.14137394864779995,1.0431220782551378,12.266536118919309,0.0
codegemma_2b,lfm2_5_1_2b_thinking,0.09908399411610191,0.9009160058838981,0.7793354744007399,1.3,0.5108256237659907,1.0,0.1391632641651792,1.040977791980536,12.1810396345722,0.0
gemma1_1_2b_it,gemma2_2b,0.0644838809967041,0.9355161190032959,0.7612473399980956,0.8999999999999999,0.0,1.0,0.1079322211056031,0.8827269589402683,10.582312999053975,1.0
gemma1_1_2b_it,gemma2_2b_it,0.06093478202819824,0.9390652179718018,0.7989166214600113,0.8999999999999999,0.0,0.0,0.11106301431573705,0.9377504260956281,11.078554011919175,1.0
gemma1_1_2b_it,gemma3_1b_it,0.23513184274945942,0.7648681572505406,0.8112392485832924,1.9,0.6931471805599453,0.0,0.2049043890979386,0.9856895102188077,142.10911010008437,1.0
gemma1_1_2b_it,gemma3_1b_pt,0.24016754967825749,0.7598324503217425,0.7784721892223404,1.9,0.6931471805599453,1.0,0.1887152733856896,0.996250997791256,212.29113091870337,1.0
gemma1_1_2b_it,gemma3_4b_it,0.2940213893141065,0.7059786106858935,0.8574182896705347,1.9,0.6931471805599453,0.0,0.25231123955821055,0.8981905789940448,248.66770470422824,1.0
gemma1_1_2b_it,gemma3_4b_pt,0.27042408500398907,0.7295759149960109,0.8485321413086676,1.9,0.6931471805599453,1.0,0.2268967369029936,0.898431237325203,249.0759310019462,1.0
gemma1_1_2b_it,lfm2_5_1_2b_base,0.06823576348168514,0.9317642365183149,0.8311322823230174,1.4,0.5108256237659907,1.0,0.12120993608608319,1.0439193654073116,12.22466400865813,0.0
gemma1_1_2b_it,lfm2_5_1_2b_instruct,0.08617939267839703,0.913820607321603,0.8142728524885197,1.4,0.5108256237659907,1.0,0.1216511526511657,1.0434027525113008,12.201185253520752,0.0
gemma1_1_2b_it,lfm2_5_1_2b_thinking,0.1014627303395953,0.8985372696604047,0.7668319309571966,1.4,0.5108256237659907,1.0,0.1167260059770784,1.0410509773660261,12.11416688203478,0.0
gemma2_2b,gemma2_2b_it,0.022177474839346734,0.9778225251606533,0.932574650300781,0.0,0.0,1.0,0.03232292255076617,0.41449085039408906,6.7518149399675,1.0
gemma2_2b,gemma3_1b_it,0.22920065266745426,0.7707993473325457,0.7509151658326062,1.0,0.6931471805599453,1.0,0.24512472257951406,0.891285859785854,141.36676496691965,1.0
gemma2_2b,gemma3_1b_pt,0.22103393077850342,0.7789660692214966,0.709284944713745,1.0,0.6931471805599453,0.0,0.21197348795814833,0.8950277495725546,211.50996859323988,1.0
gemma2_2b,gemma3_4b_it,0.28708168864250183,0.7129183113574982,0.7502867672506808,1.0,0.6931471805599453,1.0,0.2853264112569269,0.9595556647301317,249.2072303936077,1.0
gemma2_2b,gemma3_4b_pt,0.26185739040374756,0.7381426095962524,0.7413335994387769,1.0,0.6931471805599453,0.0,0.25283416493531247,0.9598784957366691,249.6157992836574,1.0
gemma2_2b,lfm2_5_1_2b_base,0.044073624270302925,0.9559263757296971,0.7466491938526503,0.5,0.5108256237659907,1.0,0.03742107567103467,0.9565246669724486,10.814528285797564,0.0
gemma2_2b,lfm2_5_1_2b_instruct,0.06451878377369469,0.9354812162263053,0.7530106715767578,0.5,0.5108256237659907,1.0,0.03968718526748198,0.956705080436495,10.794250340229633,0.0
gemma2_2b,lfm2_5_1_2b_thinking,0.08770957163402016,0.9122904283659798,0.6642225910830588,0.5,0.5108256237659907,1.0,0.0497353875752833,0.9561452091624765,10.714790699586535,0.0
gemma2_2b_it,gemma3_1b_it,0.20585940565381733,0.7941405943461827,0.7974551940429926,1.0,0.6931471805599453,0.0,0.23910338287158123,0.897726331247151,141.39960133102306,1.0
gemma2_2b_it,gemma3_1b_pt,0.2372961810656956,0.7627038189343044,0.7392539235280516,1.0,0.6931471805599453,1.0,0.20870011444702757,0.8982044661818643,211.51422215226916,1.0
gemma2_2b_it,gemma3_4b_it,0.25980596031461445,0.7401940396853856,0.7855997643454348,1.0,0.6931471805599453,0.0,0.2771951867461882,0.9818657750021706,249.3727491726256,1.0
gemma2_2b_it,gemma3_4b_pt,0.2787855863571167,0.7212144136428833,0.7455585290149563,1.0,0.6931471805599453,1.0,0.2503533646257945,0.9819797452080444,249.77981656424632,1.0
gemma2_2b_it,lfm2_5_1_2b_base,0.045787479196276015,0.954212520803724,0.7776958218511749,0.5,0.5108256237659907,1.0,0.029684638241735773,1.0765442703005192,11.663027010128436,0.0
gemma2_2b_it,lfm2_5_1_2b_instruct,0.05222478934696739,0.9477752106530326,0.7965402224421924,0.5,0.5108256237659907,1.0,0.030542852830785606,1.076796932843289,11.642444168381491,0.0
gemma2_2b_it,lfm2_5_1_2b_thinking,0.09489277430943077,0.9051072256905692,0.6865537116181335,0.5,0.5108256237659907,1.0,0.03685053069695142,1.07777764682762,11.568938158990797,0.0
gemma3_1b_it,gemma3_1b_pt,0.30323249953133724,0.6967675004686628,0.8574311734044111,0.0,0.0,1.0,0.3108294775737699,0.006418196677003607,72.8798231272701,1.0
gemma3_1b_it,gemma3_4b_it,0.25478945033890865,0.7452105496610913,0.8445264308523741,0.0,1.3862943611198906,0.0,0.27776174910848456,1.0303489813002547,290.6945329009849,1.0
gemma3_1b_it,gemma3_4b_pt,0.3250727525779179,0.6749272474220821,0.814568604964365,0.0,1.3862943611198906,1.0,0.280828370903445,1.0304427089390071,291.0607009858869,1.0
gemma3_1b_it,lfm2_5_1_2b_base,0.2352423242160252,0.7647576757839748,0.7639836560310193,0.5,0.1823215567939546,1.0,0.23655551083757298,1.0428445540920448,142.57214630993522,0.0
gemma3_1b_it,lfm2_5_1_2b_instruct,0.23015999794006348,0.7698400020599365,0.7630292129023718,0.5,0.1823215567939546,1.0,0.2381369504397482,1.0430845876022792,142.5712267879287,0.0
gemma3_1b_it,lfm2_5_1_2b_thinking,0.2663521085466657,0.7336478914533343,0.7059300124448143,0.5,0.1823215567939546,1.0,0.2409130120859042,1.0457510147228866,142.58256150157118,0.0
gemma3_1b_pt,gemma3_4b_it,0.3759082811219352,0.6240917188780648,0.8325464630876107,0.0,1.3862943611198906,1.0,0.30688339267740145,1.0259409071627756,331.58780205894,1.0
gemma3_1b_pt,gemma3_4b_pt,0.18448107583182194,0.8155189241681781,0.8344285663721258,0.0,1.3862943611198906,0.0,0.24868444399232228,1.0259849670498495,331.9073417493605,1.0
gemma3_1b_pt,lfm2_5_1_2b_base,0.24546054005622864,0.7545394599437714,0.7347555979567078,0.5,0.1823215567939546,1.0,0.207311678598375,1.0465185284453946,212.69972215636423,0.0
gemma3_1b_pt,lfm2_5_1_2b_instruct,0.26493958064488,0.73506041935512,0.7200886075480709,0.5,0.1823215567939546,1.0,0.2112871464274052,1.0467528937169301,212.69920442370235,0.0
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.21051893915448872,0.7894810608455113,0.6889187976309957,0.5,0.1823215567939546,1.0,0.21354519086830903,1.0490060496094682,212.70878444509415,0.0
gemma3_4b_it,gemma3_4b_pt,0.2639446258544922,0.7360553741455078,0.9554741167454746,0.0,0.0,1.0,0.185749202975369,1.0743604567764464e-05,1.22629329692179,1.0
gemma3_4b_it,lfm2_5_1_2b_base,0.3059021660259792,0.6940978339740208,0.7848019753086726,0.5,1.2039728043259361,1.0,0.28382263700002286,0.8280040194370553,248.09851521402337,0.0
gemma3_4b_it,lfm2_5_1_2b_instruct,0.2843822155679975,0.7156177844320025,0.7635423333200535,0.5,1.2039728043259361,1.0,0.28302599738741097,0.827836646967625,248.1011262148745,0.0
gemma3_4b_it,lfm2_5_1_2b_thinking,0.3530074741159167,0.6469925258840833,0.7177373192701705,0.5,1.2039728043259361,1.0,0.2842142736701633,0.8269566480510513,248.10834691964465,0.0
gemma3_4b_pt,lfm2_5_1_2b_base,0.30806173597063335,0.6919382640293666,0.7853676820793697,0.5,1.2039728043259361,1.0,0.25393618536878476,0.8282379601917513,248.50664462076887,0.0
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.3031981544835227,0.6968018455164773,0.7546100827343839,0.5,1.2039728043259361,1.0,0.2552269550146807,0.828071214451385,248.50925561657223,0.0
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.2704702530588422,0.7295297469411578,0.7390402144789638,0.5,1.2039728043259361,1.0,0.2550269936500098,0.8271903782207874,248.51645050456,0.0
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.04383793047496254,0.9561620695250375,0.9115814379817296,0.0,0.0,1.0,0.01755068848987751,2.8993355319917313e-06,0.0350366202826255,1.0
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.0620560390608651,0.9379439609391349,0.8333422893615126,0.0,0.0,1.0,0.03226663629461949,0.0002269242871022481,0.2201744272507856,1.0
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.08174003873552593,0.9182599612644741,0.8332088010712058,0.0,0.0,1.0,0.029068263328558736,0.000200380331501826,0.194882733228525,1.0
