model_a,model_b,rep_mean_cka,rep_mean_rsa,weight_cosine,weight_l2
codegemma_2b,gemma1_1_2b_it,0.9853915572166443,0.9194460821961495,0.997552557680621,0.6109873526761183
codegemma_2b,gemma2_2b,0.9329622898783002,0.780766807381539,0.1157330767942874,10.658241943850689
codegemma_2b,gemma2_2b_it,0.9329584411212376,0.7963160842580078,0.0627593725508836,11.142514481789236
codegemma_2b,gemma3_1b_it,0.7497837032590594,0.7939802460136633,0.0180003144475686,142.08134146215534
codegemma_2b,gemma3_1b_pt,0.7464392355510167,0.760307880144566,0.0064188214770493,212.27133411889423
codegemma_2b,gemma3_4b_it,0.6799526810646057,0.8121192863301939,0.0932846619569639,248.735775068429
codegemma_2b,gemma3_4b_pt,0.7034171947411129,0.8219065356361123,0.0930288571187751,249.14414923066204
codegemma_2b,lfm2_5_1_2b_base,0.9283502612795148,0.8175116965518926,-0.0436274538485265,12.28985937253498
codegemma_2b,lfm2_5_1_2b_instruct,0.910954373223441,0.8187700619620494,-0.0431220782551377,12.266536118919309
codegemma_2b,lfm2_5_1_2b_thinking,0.9009160058838981,0.7793354744007399,-0.040977791980536,12.1810396345722
gemma1_1_2b_it,gemma2_2b,0.9355161190032959,0.7612473399980956,0.1172730410597317,10.582312999053975
gemma1_1_2b_it,gemma2_2b_it,0.9390652179718018,0.7989166214600113,0.0622495739043719,11.078554011919175
gemma1_1_2b_it,gemma3_1b_it,0.7648681572505406,0.8112392485832924,0.0143104897811923,142.10911010008437
gemma1_1_2b_it,gemma3_1b_pt,0.7598324503217425,0.7784721892223404,0.003749002208744,212.29113091870337
gemma1_1_2b_it,gemma3_4b_it,0.7059786106858935,0.8574182896705347,0.1018094210059552,248.66770470422824
gemma1_1_2b_it,gemma3_4b_pt,0.7295759149960109,0.8485321413086676,0.101568762674797,249.0759310019462
gemma1_1_2b_it,lfm2_5_1_2b_base,0.9317642365183149,0.8311322823230174,-0.0439193654073116,12.22466400865813
gemma1_1_2b_it,lfm2_5_1_2b_instruct,0.913820607321603,0.8142728524885197,-0.0434027525113008,12.201185253520752
gemma1_1_2b_it,lfm2_5_1_2b_thinking,0.8985372696604047,0.7668319309571966,-0.0410509773660262,12.11416688203478
gemma2_2b,gemma2_2b_it,0.9778225251606533,0.932574650300781,0.5855091496059109,6.7518149399675
gemma2_2b,gemma3_1b_it,0.7707993473325457,0.7509151658326062,0.1087141402141461,141.36676496691965
gemma2_2b,gemma3_1b_pt,0.7789660692214966,0.709284944713745,0.1049722504274454,211.50996859323988
gemma2_2b,gemma3_4b_it,0.7129183113574982,0.7502867672506808,0.0404443352698683,249.2072303936077
gemma2_2b,gemma3_4b_pt,0.7381426095962524,0.7413335994387769,0.0401215042633309,249.6157992836574
gemma2_2b,lfm2_5_1_2b_base,0.9559263757296971,0.7466491938526503,0.0434753330275514,10.814528285797564
gemma2_2b,lfm2_5_1_2b_instruct,0.9354812162263053,0.7530106715767578,0.043294919563505,10.794250340229633
gemma2_2b,lfm2_5_1_2b_thinking,0.9122904283659798,0.6642225910830588,0.0438547908375235,10.714790699586535
gemma2_2b_it,gemma3_1b_it,0.7941405943461827,0.7974551940429926,0.102273668752849,141.39960133102306
gemma2_2b_it,gemma3_1b_pt,0.7627038189343044,0.7392539235280516,0.1017955338181357,211.51422215226916
gemma2_2b_it,gemma3_4b_it,0.7401940396853856,0.7855997643454348,0.0181342249978293,249.3727491726256
gemma2_2b_it,gemma3_4b_pt,0.7212144136428833,0.7455585290149563,0.0180202547919556,249.77981656424632
gemma2_2b_it,lfm2_5_1_2b_base,0.954212520803724,0.7776958218511749,-0.0765442703005192,11.663027010128436
gemma2_2b_it,lfm2_5_1_2b_instruct,0.9477752106530326,0.7965402224421924,-0.0767969328432889,11.642444168381491
gemma2_2b_it,lfm2_5_1_2b_thinking,0.9051072256905692,0.6865537116181335,-0.0777776468276199,11.568938158990797
gemma3_1b_it,gemma3_1b_pt,0.6967675004686628,0.8574311734044111,0.9935818033229964,72.8798231272701
gemma3_1b_it,gemma3_4b_it,0.7452105496610913,0.8445264308523741,-0.0303489813002547,290.6945329009849
gemma3_1b_it,gemma3_4b_pt,0.6749272474220821,0.814568604964365,-0.0304427089390071,291.0607009858869
gemma3_1b_it,lfm2_5_1_2b_base,0.7647576757839748,0.7639836560310193,-0.0428445540920447,142.57214630993522
gemma3_1b_it,lfm2_5_1_2b_instruct,0.7698400020599365,0.7630292129023718,-0.0430845876022791,142.5712267879287
gemma3_1b_it,lfm2_5_1_2b_thinking,0.7336478914533343,0.7059300124448143,-0.0457510147228866,142.58256150157118
gemma3_1b_pt,gemma3_4b_it,0.6240917188780648,0.8325464630876107,-0.0259409071627757,331.58780205894
gemma3_1b_pt,gemma3_4b_pt,0.8155189241681781,0.8344285663721258,-0.0259849670498495,331.9073417493605
gemma3_1b_pt,lfm2_5_1_2b_base,0.7545394599437714,0.7347555979567078,-0.0465185284453947,212.69972215636423
gemma3_1b_pt,lfm2_5_1_2b_instruct,0.73506041935512,0.7200886075480709,-0.0467528937169302,212.69920442370235
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.7894810608455113,0.6889187976309957,-0.0490060496094681,212.70878444509415
gemma3_4b_it,gemma3_4b_pt,0.7360553741455078,0.9554741167454746,0.9999892563954322,1.22629329692179
gemma3_4b_it,lfm2_5_1_2b_base,0.6940978339740208,0.7848019753086726,0.1719959805629448,248.09851521402337
gemma3_4b_it,lfm2_5_1_2b_instruct,0.7156177844320025,0.7635423333200535,0.1721633530323749,248.1011262148745
gemma3_4b_it,lfm2_5_1_2b_thinking,0.6469925258840833,0.7177373192701705,0.1730433519489487,248.10834691964465
gemma3_4b_pt,lfm2_5_1_2b_base,0.6919382640293666,0.7853676820793697,0.1717620398082487,248.50664462076887
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.6968018455164773,0.7546100827343839,0.171928785548615,248.50925561657223
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.7295297469411578,0.7390402144789638,0.1728096217792126,248.51645050456
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.9561620695250375,0.9115814379817296,0.999997100664468,0.0350366202826255
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.9379439609391349,0.8333422893615126,0.9997730757128978,0.2201744272507856
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.9182599612644741,0.8332088010712058,0.9997996196684982,0.194882733228525
