edge_type,model_from,model_to,layer,domain,mean_drift_norm,p90_drift_norm
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,algebraic_geometry,24.46304006576538,25.68375587463379
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,analogy_composition,31.229876931508382,33.23586845397949
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,factual_recall,23.31525796254476,25.177809715270996
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,logical_reasoning,22.979104487101235,24.681854057312012
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,narrative_structure,25.08707030614217,26.79412879943848
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,symbolic_code,26.954371452331543,28.689183616638182
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,algebraic_geometry,14.776869535446167,15.700986957550048
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,analogy_composition,17.660835472742715,19.58296813964844
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,factual_recall,15.39366267522176,16.59698238372803
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,logical_reasoning,16.490412743886314,18.908312606811524
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,narrative_structure,20.111619599660237,21.745590591430663
tune_shift,gemma2_2b,gemma2_2b_it,layer_12,symbolic_code,18.95899968147278,21.542431259155272
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,algebraic_geometry,257.9801671346029,315.1832977294922
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,analogy_composition,211.4922876993815,266.0619323730469
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,factual_recall,179.3473856608073,251.22982025146484
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,logical_reasoning,180.40786463419596,218.09242401123046
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,narrative_structure,222.07318623860678,284.2617553710938
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,symbolic_code,164.50608812967937,203.00512084960937
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,algebraic_geometry,136.00775731404622,148.51909484863282
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,analogy_composition,226.44182535807292,307.0270141601562
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,factual_recall,146.33354072570802,211.09132080078126
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,logical_reasoning,135.92114435831706,174.79120483398438
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,narrative_structure,147.3735720316569,176.13861694335938
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,symbolic_code,185.42601788838704,259.35668029785154
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,algebraic_geometry,301.75159657796223,498.38340759277344
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,analogy_composition,710.7260403951009,930.3591552734375
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,factual_recall,289.7839917500814,450.3761871337891
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,logical_reasoning,396.89692509969075,684.3390258789062
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,narrative_structure,442.2889902750651,754.1808715820313
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,symbolic_code,808.0517923990885,1189.2021850585938
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,algebraic_geometry,271.9011085510254,317.83092041015624
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,analogy_composition,231.9009536743164,265.08582458496096
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,factual_recall,185.25635172526043,218.85198364257815
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,logical_reasoning,188.69704717000326,237.22356567382812
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,narrative_structure,259.801331837972,330.83599548339845
tune_shift,gemma3_1b_pt,gemma3_1b_it,layer_12,symbolic_code,191.65816268920898,241.31251525878906
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,algebraic_geometry,572.8344937642415,775.7554626464844
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,analogy_composition,514.3011316935222,729.747723388672
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,factual_recall,448.94292373657225,740.3088989257812
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,logical_reasoning,425.11885223388674,637.4841491699219
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,narrative_structure,465.40758361816404,747.4085021972656
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_12,symbolic_code,430.67565739949544,691.6751892089844
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,algebraic_geometry,298.583647664388,495.5011291503906
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,analogy_composition,686.9781237284343,922.9573303222656
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,factual_recall,276.2792096455892,422.22608642578126
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,logical_reasoning,389.178076171875,689.2757507324219
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,narrative_structure,435.1624799092611,746.2475158691407
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,layer_12,symbolic_code,800.198161315918,1174.2262207031251
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,algebraic_geometry,659.6081456502278,861.5673950195312
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,analogy_composition,269.3723756154378,419.1001617431641
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,factual_recall,387.2624039967855,629.5615356445313
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,logical_reasoning,643.5765014648438,827.3920654296875
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,narrative_structure,720.2266677856445,964.949609375
tune_shift,gemma3_4b_pt,gemma3_4b_it,layer_12,symbolic_code,443.28481012980143,673.6513366699219
